episode_id,type,severity,duration_min,latency_min,detected
0,scaling,low,113,,False
1,scaling,medium,100,0.0,True
2,scaling,medium,88,,False
3,scaling,medium,59,,False
4,scaling,low,139,23.0,True
5,scaling,high,167,0.0,True
6,scaling,medium,112,0.0,True
7,scaling,low,67,59.0,True
8,scaling,low,137,,False
9,scaling,medium,175,,False
10,scaling,medium,91,0.0,True
11,scaling,medium,112,,False
12,scaling,high,148,0.0,True
13,scaling,low,80,,False
14,scaling,medium,145,,False
15,scaling,high,105,62.0,True
16,scaling,high,140,0.0,True
17,scaling,low,154,,False
18,scaling,high,107,0.0,True
19,scaling,high,112,,False
20,scaling,high,86,0.0,True
21,scaling,medium,57,0.0,True
22,scaling,low,148,,False
23,scaling,high,69,0.0,True
24,scaling,low,134,0.0,True
25,scaling,low,68,,False
26,scaling,high,85,0.0,True
27,scaling,high,105,,False
28,scaling,medium,85,,False
29,scaling,medium,101,32.0,True
30,scaling,low,53,3.0,True
31,scaling,low,136,,False
32,scaling,medium,66,,False
33,scaling,medium,154,,False
34,scaling,low,119,0.0,True
35,scaling,medium,83,,False
36,scaling,high,46,,False
37,scaling,medium,86,0.0,True
38,scaling,medium,135,60.0,True
39,scaling,medium,78,0.0,True
40,scaling,high,172,,False
41,scaling,low,128,6.0,True
42,scaling,medium,77,,False
43,scaling,medium,119,,False
44,scaling,low,107,,False
45,scaling,medium,72,,False
46,scaling,high,129,0.0,True
47,scaling,medium,179,,False
48,scaling,low,117,43.0,True
49,scaling,low,176,,False
50,scaling,high,57,,False
51,scaling,high,75,0.0,True
52,scaling,high,108,,False
53,scaling,low,90,,False
54,scaling,medium,165,0.0,True
55,scaling,high,96,0.0,True
56,scaling,high,173,0.0,True
57,scaling,high,54,0.0,True
58,scaling,medium,146,,False
59,scaling,medium,142,0.0,True
60,scaling,high,83,0.0,True
61,scaling,medium,88,42.0,True
62,scaling,medium,103,33.0,True
63,scaling,low,68,,False
64,scaling,high,47,,False
65,scaling,low,85,0.0,True
66,scaling,medium,149,0.0,True
67,scaling,medium,162,0.0,True
68,scaling,high,56,,False
69,scaling,high,104,,False
70,scaling,high,55,,False
71,scaling,medium,62,0.0,True
72,scaling,high,87,0.0,True
73,scaling,low,175,33.0,True
74,scaling,medium,126,,False
75,scaling,medium,159,111.0,True
76,scaling,high,146,,False
77,scaling,low,67,,False
78,scaling,high,103,0.0,True
79,scaling,high,160,86.0,True
