episode_id,type,severity,duration_min,latency_min,detected
0,scaling,low,46,43.0,True
1,scaling,medium,36,4.0,True
2,scaling,medium,52,4.0,True
3,scaling,high,87,15.0,True
4,scaling,high,131,11.0,True
5,scaling,medium,153,14.0,True
6,scaling,high,79,3.0,True
7,scaling,high,128,4.0,True
8,scaling,high,48,4.0,True
9,scaling,medium,145,4.0,True
10,scaling,high,132,4.0,True
11,scaling,medium,91,15.0,True
12,scaling,high,38,4.0,True
13,scaling,medium,125,5.0,True
14,scaling,medium,108,9.0,True
15,scaling,low,120,46.0,True
16,scaling,low,107,29.0,True
17,scaling,high,20,4.0,True
18,scaling,medium,50,4.0,True
19,scaling,medium,156,4.0,True
20,scaling,medium,24,4.0,True
21,scaling,low,63,4.0,True
22,scaling,medium,107,22.0,True
23,scaling,medium,125,4.0,True
24,scaling,medium,150,4.0,True
25,scaling,high,18,4.0,True
26,scaling,medium,134,4.0,True
27,scaling,high,41,4.0,True
28,scaling,medium,40,4.0,True
29,scaling,medium,89,4.0,True
30,scaling,low,65,27.0,True
31,scaling,high,75,4.0,True
32,scaling,medium,34,4.0,True
33,scaling,low,165,4.0,True
34,scaling,high,59,4.0,True
35,scaling,low,144,4.0,True
36,scaling,low,89,9.0,True
37,scaling,medium,31,4.0,True
38,scaling,medium,90,4.0,True
39,scaling,high,65,4.0,True
40,scaling,low,44,4.0,True
41,scaling,low,140,4.0,True
42,scaling,low,86,4.0,True
43,scaling,high,111,4.0,True
44,scaling,low,29,18.0,True
45,scaling,high,21,4.0,True
46,scaling,medium,69,4.0,True
47,scaling,low,32,10.0,True
48,scaling,low,43,4.0,True
49,scaling,low,111,10.0,True
50,offset,low,100,4.0,True
51,offset,high,57,4.0,True
52,offset,medium,42,4.0,True
53,offset,high,87,4.0,True
54,offset,high,163,4.0,True
55,offset,low,162,4.0,True
56,offset,high,101,4.0,True
57,offset,medium,143,4.0,True
58,offset,high,77,4.0,True
59,offset,high,138,4.0,True
60,offset,high,170,4.0,True
61,offset,low,35,4.0,True
62,offset,high,40,4.0,True
63,offset,medium,114,4.0,True
64,offset,medium,47,4.0,True
65,offset,high,144,2.0,True
66,offset,medium,98,4.0,True
67,offset,low,17,4.0,True
68,offset,low,36,,False
69,offset,high,35,4.0,True
