episode_id,type,severity,duration_min,latency_min,detected
0,scaling,low,113,31.0,True
1,scaling,medium,100,0.0,True
2,scaling,medium,88,19.0,True
3,scaling,medium,59,4.0,True
4,scaling,low,139,34.0,True
5,scaling,high,167,2.0,True
6,scaling,medium,112,2.0,True
7,scaling,low,67,36.0,True
8,scaling,low,137,33.0,True
9,scaling,medium,175,25.0,True
10,scaling,medium,91,2.0,True
11,scaling,medium,112,0.0,True
12,scaling,high,148,2.0,True
13,scaling,low,80,2.0,True
14,scaling,medium,145,10.0,True
15,scaling,high,105,3.0,True
16,scaling,high,140,2.0,True
17,scaling,low,154,54.0,True
18,scaling,high,107,0.0,True
19,scaling,high,112,2.0,True
20,scaling,high,86,2.0,True
21,scaling,medium,57,2.0,True
22,scaling,low,148,12.0,True
23,scaling,high,69,2.0,True
24,scaling,low,134,1.0,True
25,scaling,low,68,12.0,True
26,scaling,high,85,2.0,True
27,scaling,high,105,3.0,True
28,scaling,medium,85,11.0,True
29,scaling,medium,101,2.0,True
30,scaling,low,53,3.0,True
31,scaling,low,136,67.0,True
32,scaling,medium,66,4.0,True
33,scaling,medium,154,2.0,True
34,scaling,low,119,1.0,True
35,scaling,medium,83,2.0,True
36,scaling,high,46,2.0,True
37,scaling,medium,86,0.0,True
38,scaling,medium,135,15.0,True
39,scaling,medium,78,2.0,True
40,scaling,high,172,14.0,True
41,scaling,low,128,28.0,True
42,scaling,medium,77,3.0,True
43,scaling,medium,119,4.0,True
44,scaling,low,107,2.0,True
45,scaling,medium,72,3.0,True
46,scaling,high,129,2.0,True
47,scaling,medium,179,2.0,True
48,scaling,low,117,12.0,True
49,scaling,low,176,35.0,True
50,scaling,high,57,4.0,True
51,scaling,high,75,2.0,True
52,scaling,high,108,2.0,True
53,scaling,low,90,2.0,True
54,scaling,medium,165,2.0,True
55,scaling,high,96,2.0,True
56,scaling,high,173,2.0,True
57,scaling,high,54,2.0,True
58,scaling,medium,146,7.0,True
59,scaling,medium,142,2.0,True
60,scaling,high,83,2.0,True
61,scaling,medium,88,5.0,True
62,scaling,medium,103,2.0,True
63,scaling,low,68,44.0,True
64,scaling,high,47,2.0,True
65,scaling,low,85,0.0,True
66,scaling,medium,149,2.0,True
67,scaling,medium,162,0.0,True
68,scaling,high,56,2.0,True
69,scaling,high,104,2.0,True
70,scaling,high,55,2.0,True
71,scaling,medium,62,2.0,True
72,scaling,high,87,4.0,True
73,scaling,low,175,4.0,True
74,scaling,medium,126,6.0,True
75,scaling,medium,159,3.0,True
76,scaling,high,146,4.0,True
77,scaling,low,67,7.0,True
78,scaling,high,103,2.0,True
79,scaling,high,160,3.0,True
80,scaling,low,84,26.0,True
81,scaling,medium,107,2.0,True
82,scaling,medium,149,2.0,True
83,scaling,low,147,13.0,True
84,scaling,medium,61,2.0,True
85,scaling,low,60,2.0,True
86,scaling,high,82,2.0,True
87,scaling,low,81,34.0,True
88,scaling,medium,159,8.0,True
89,scaling,high,164,2.0,True
90,scaling,medium,93,2.0,True
91,scaling,low,169,2.0,True
92,scaling,low,66,,False
93,scaling,medium,106,30.0,True
94,scaling,medium,141,29.0,True
95,scaling,high,158,2.0,True
96,scaling,high,115,2.0,True
97,scaling,medium,157,2.0,True
98,scaling,medium,145,2.0,True
99,scaling,low,117,2.0,True
100,scaling,high,76,2.0,True
101,scaling,low,174,3.0,True
102,scaling,high,45,3.0,True
103,scaling,medium,166,2.0,True
104,scaling,low,59,5.0,True
105,scaling,low,138,2.0,True
106,scaling,low,77,34.0,True
107,scaling,medium,123,2.0,True
108,scaling,medium,128,2.0,True
109,scaling,low,157,65.0,True
110,scaling,medium,176,0.0,True
111,scaling,high,151,3.0,True
112,scaling,low,78,2.0,True
113,scaling,low,103,15.0,True
114,scaling,medium,91,2.0,True
115,scaling,medium,145,2.0,True
116,scaling,high,69,2.0,True
117,scaling,medium,152,2.0,True
118,scaling,medium,161,3.0,True
119,scaling,low,107,4.0,True
120,offset,low,105,7.0,True
121,offset,medium,86,33.0,True
122,offset,high,151,6.0,True
123,offset,low,180,2.0,True
124,offset,high,83,0.0,True
125,offset,medium,59,2.0,True
126,offset,low,135,2.0,True
127,offset,high,57,2.0,True
128,offset,medium,48,2.0,True
129,offset,medium,71,9.0,True
130,offset,high,168,2.0,True
131,offset,low,49,3.0,True
132,offset,low,52,2.0,True
133,offset,high,154,2.0,True
134,offset,medium,160,2.0,True
135,offset,low,153,2.0,True
136,offset,medium,150,14.0,True
137,offset,high,158,2.0,True
138,offset,high,72,4.0,True
139,offset,medium,113,3.0,True
140,offset,medium,130,2.0,True
141,offset,medium,66,1.0,True
142,offset,low,71,16.0,True
143,offset,high,141,4.0,True
144,offset,medium,128,2.0,True
145,offset,low,128,3.0,True
146,offset,low,165,2.0,True
147,offset,high,68,2.0,True
148,offset,low,69,0.0,True
149,offset,high,107,0.0,True
150,offset,medium,131,2.0,True
151,offset,high,64,3.0,True
152,offset,medium,85,0.0,True
153,offset,high,140,2.0,True
154,offset,low,114,2.0,True
155,offset,low,99,3.0,True
156,offset,medium,61,0.0,True
157,offset,high,82,2.0,True
158,offset,medium,103,2.0,True
159,offset,medium,131,2.0,True
160,offset,medium,100,2.0,True
161,offset,high,125,2.0,True
162,offset,low,49,,False
163,offset,low,109,9.0,True
164,offset,medium,122,2.0,True
165,offset,high,140,2.0,True
166,offset,medium,133,3.0,True
167,offset,medium,152,2.0,True
168,offset,high,103,4.0,True
169,offset,high,145,3.0,True
170,offset,high,165,2.0,True
171,offset,medium,113,2.0,True
172,offset,medium,153,3.0,True
173,offset,medium,158,4.0,True
174,offset,medium,60,2.0,True
175,offset,low,159,2.0,True
176,offset,low,83,23.0,True
177,offset,medium,46,2.0,True
178,offset,medium,157,2.0,True
179,offset,low,95,13.0,True
180,offset,low,126,3.0,True
181,offset,high,94,1.0,True
182,offset,medium,180,3.0,True
183,offset,low,140,52.0,True
184,offset,low,97,2.0,True
185,offset,medium,46,26.0,True
186,offset,low,116,2.0,True
187,offset,high,179,2.0,True
188,offset,medium,120,2.0,True
189,offset,medium,179,3.0,True
190,offset,high,105,2.0,True
191,offset,medium,55,2.0,True
192,offset,low,103,89.0,True
193,offset,low,65,52.0,True
194,offset,high,168,2.0,True
195,offset,medium,76,3.0,True
196,offset,low,111,10.0,True
197,offset,low,78,69.0,True
198,offset,low,159,2.0,True
199,offset,high,133,2.0,True
200,offset,medium,148,2.0,True
201,offset,low,94,1.0,True
202,offset,medium,91,0.0,True
203,offset,high,110,2.0,True
204,offset,low,160,2.0,True
205,offset,medium,160,2.0,True
206,offset,medium,91,2.0,True
207,offset,high,117,13.0,True
208,offset,medium,99,2.0,True
209,offset,medium,130,11.0,True
210,offset,high,91,2.0,True
211,offset,low,105,13.0,True
212,offset,low,86,3.0,True
213,offset,low,45,2.0,True
214,offset,low,140,2.0,True
215,offset,low,178,2.0,True
216,offset,medium,109,0.0,True
217,offset,high,151,2.0,True
218,offset,high,162,2.0,True
219,offset,high,144,2.0,True
220,offset,low,120,11.0,True
221,offset,high,176,2.0,True
222,offset,high,84,2.0,True
223,offset,high,146,2.0,True
224,offset,medium,150,2.0,True
225,offset,low,111,2.0,True
226,offset,medium,108,4.0,True
227,offset,low,56,,False
228,offset,high,120,2.0,True
229,offset,medium,170,2.0,True
230,offset,medium,50,2.0,True
231,offset,high,51,2.0,True
232,offset,medium,136,2.0,True
233,offset,medium,150,2.0,True
234,offset,medium,145,9.0,True
235,offset,high,129,2.0,True
236,offset,high,161,2.0,True
237,offset,medium,114,2.0,True
238,offset,medium,166,8.0,True
239,offset,medium,160,2.0,True
240,noise,low,73,7.0,True
241,noise,low,86,7.0,True
242,noise,high,180,3.0,True
243,noise,medium,51,3.0,True
244,noise,medium,148,3.0,True
245,noise,medium,152,12.0,True
246,noise,medium,88,2.0,True
247,noise,low,72,4.0,True
248,noise,medium,105,7.0,True
249,noise,high,96,4.0,True
250,noise,medium,74,3.0,True
251,noise,medium,126,5.0,True
252,noise,medium,52,3.0,True
253,noise,medium,96,3.0,True
254,noise,medium,137,5.0,True
255,noise,medium,158,2.0,True
256,noise,medium,55,2.0,True
257,noise,medium,97,3.0,True
