episode_id,type,severity,duration_min,latency_min,detected
0,scaling,low,46,8.0,True
1,scaling,medium,36,0.0,True
2,scaling,medium,52,0.0,True
3,scaling,high,87,0.0,True
4,scaling,high,131,0.0,True
5,scaling,medium,153,0.0,True
6,scaling,high,79,0.0,True
7,scaling,high,128,0.0,True
8,scaling,high,48,0.0,True
9,scaling,medium,145,0.0,True
10,scaling,high,132,0.0,True
11,scaling,medium,91,17.0,True
12,scaling,high,38,0.0,True
13,scaling,medium,125,0.0,True
14,scaling,medium,108,4.0,True
15,scaling,low,120,40.0,True
16,scaling,low,107,,False
17,scaling,high,20,,False
18,scaling,medium,50,2.0,True
19,scaling,medium,156,0.0,True
20,scaling,medium,24,0.0,True
21,scaling,low,63,0.0,True
22,scaling,medium,107,,False
23,scaling,medium,125,0.0,True
24,scaling,medium,150,0.0,True
25,scaling,high,18,,False
26,scaling,medium,134,0.0,True
27,scaling,high,41,0.0,True
28,scaling,medium,40,0.0,True
29,scaling,medium,89,0.0,True
30,scaling,low,65,0.0,True
31,scaling,high,75,0.0,True
32,scaling,medium,34,11.0,True
33,scaling,low,165,0.0,True
34,scaling,high,59,0.0,True
35,scaling,low,144,0.0,True
36,scaling,low,89,0.0,True
37,scaling,medium,31,0.0,True
38,scaling,medium,90,55.0,True
39,scaling,high,65,0.0,True
40,scaling,low,44,0.0,True
41,scaling,low,140,11.0,True
42,scaling,low,86,0.0,True
43,scaling,high,111,2.0,True
44,scaling,low,29,,False
45,scaling,high,21,0.0,True
46,scaling,medium,69,24.0,True
47,scaling,low,32,,False
48,scaling,low,43,0.0,True
49,scaling,low,111,6.0,True
50,offset,low,100,0.0,True
51,offset,high,57,0.0,True
52,offset,medium,42,0.0,True
53,offset,high,87,0.0,True
54,offset,high,163,0.0,True
55,offset,low,162,0.0,True
56,offset,high,101,0.0,True
57,offset,medium,143,0.0,True
58,offset,high,77,42.0,True
59,offset,high,138,0.0,True
60,offset,high,170,0.0,True
61,offset,low,35,0.0,True
62,offset,high,40,0.0,True
63,offset,medium,114,51.0,True
64,offset,medium,47,0.0,True
65,offset,high,144,0.0,True
66,offset,medium,98,0.0,True
67,offset,low,17,0.0,True
68,offset,low,36,,False
69,offset,high,35,0.0,True
70,offset,high,130,0.0,True
71,offset,medium,48,0.0,True
72,offset,high,133,0.0,True
73,offset,low,36,,False
74,offset,high,168,0.0,True
75,offset,low,64,,False
76,offset,low,125,,False
77,offset,low,19,0.0,True
78,offset,medium,107,0.0,True
79,offset,low,32,0.0,True
80,offset,medium,84,0.0,True
81,offset,medium,113,19.0,True
82,offset,low,148,0.0,True
83,offset,medium,145,,False
84,offset,medium,33,0.0,True
85,offset,high,103,0.0,True
86,offset,medium,115,0.0,True
87,offset,medium,115,14.0,True
88,offset,medium,77,0.0,True
89,offset,low,123,0.0,True
90,offset,medium,90,0.0,True
91,offset,low,150,0.0,True
92,offset,medium,32,0.0,True
93,offset,high,113,0.0,True
94,offset,medium,151,0.0,True
95,offset,medium,38,,False
96,offset,low,42,0.0,True
97,offset,low,40,0.0,True
98,offset,medium,18,0.0,True
99,offset,medium,43,0.0,True
100,noise,high,145,0.0,True
101,noise,low,159,0.0,True
102,noise,medium,122,0.0,True
103,noise,low,138,0.0,True
104,noise,medium,176,0.0,True
105,noise,medium,149,0.0,True
106,noise,medium,92,0.0,True
107,noise,low,24,0.0,True
108,noise,low,25,0.0,True
109,noise,medium,48,0.0,True
110,noise,medium,67,0.0,True
111,noise,medium,132,0.0,True
112,noise,medium,123,0.0,True
113,noise,medium,46,0.0,True
114,noise,high,153,0.0,True
115,noise,high,45,0.0,True
116,noise,high,129,0.0,True
117,noise,low,88,0.0,True
118,noise,medium,92,0.0,True
119,noise,low,137,0.0,True
120,noise,high,69,0.0,True
121,noise,low,106,0.0,True
122,noise,medium,129,0.0,True
123,noise,high,28,0.0,True
124,noise,medium,24,0.0,True
125,noise,medium,66,0.0,True
126,noise,low,160,0.0,True
127,noise,medium,79,0.0,True
128,noise,low,43,0.0,True
129,noise,medium,150,0.0,True
130,noise,high,17,0.0,True
131,noise,medium,54,0.0,True
132,noise,high,21,0.0,True
133,noise,low,92,0.0,True
134,noise,medium,180,0.0,True
135,noise,low,17,0.0,True
136,noise,medium,117,0.0,True
137,noise,low,86,0.0,True
138,noise,medium,161,0.0,True
139,noise,low,21,0.0,True
140,noise,high,45,0.0,True
141,noise,low,162,0.0,True
142,noise,high,70,0.0,True
143,noise,high,168,0.0,True
144,noise,high,73,0.0,True
145,noise,high,41,0.0,True
146,noise,low,17,0.0,True
147,noise,high,169,0.0,True
148,noise,high,18,0.0,True
149,noise,medium,106,0.0,True
150,ramp,low,167,130.0,True
151,ramp,medium,177,129.0,True
152,ramp,high,44,0.0,True
153,ramp,low,94,92.0,True
154,ramp,high,98,59.0,True
155,ramp,low,21,0.0,True
156,ramp,medium,154,120.0,True
157,ramp,medium,108,76.0,True
158,ramp,low,169,0.0,True
159,ramp,high,153,41.0,True
160,ramp,low,95,,False
161,ramp,high,60,0.0,True
162,ramp,medium,29,0.0,True
163,ramp,medium,51,,False
164,ramp,low,15,0.0,True
165,ramp,low,65,35.0,True
166,ramp,medium,179,31.0,True
167,ramp,high,122,0.0,True
168,ramp,medium,136,19.0,True
169,ramp,low,138,72.0,True
170,ramp,medium,70,0.0,True
171,ramp,high,118,22.0,True
172,ramp,high,22,0.0,True
173,ramp,low,23,,False
174,ramp,high,15,0.0,True
175,ramp,high,102,22.0,True
176,ramp,medium,78,0.0,True
177,ramp,high,126,6.0,True
178,ramp,low,158,73.0,True
179,ramp,high,103,0.0,True
180,ramp,medium,110,79.0,True
181,ramp,low,128,18.0,True
182,ramp,medium,127,49.0,True
183,ramp,low,176,30.0,True
184,ramp,medium,72,0.0,True
185,ramp,medium,105,38.0,True
186,ramp,medium,43,0.0,True
187,ramp,medium,91,40.0,True
188,ramp,medium,18,0.0,True
189,ramp,low,169,,False
190,ramp,high,27,25.0,True
191,ramp,medium,55,,False
192,ramp,low,166,98.0,True
193,ramp,medium,89,0.0,True
194,ramp,medium,21,0.0,True
195,ramp,high,35,0.0,True
196,ramp,high,108,16.0,True
197,ramp,low,32,29.0,True
198,ramp,medium,88,0.0,True
199,ramp,high,15,0.0,True
200,step,low,76,0.0,True
201,step,medium,23,0.0,True
202,step,medium,167,0.0,True
203,step,high,160,67.0,True
204,step,high,78,0.0,True
205,step,low,134,,False
206,step,high,173,0.0,True
207,step,medium,77,0.0,True
208,step,low,145,35.0,True
209,step,medium,116,21.0,True
210,step,high,158,38.0,True
211,step,high,111,33.0,True
212,step,medium,58,14.0,True
213,step,medium,116,23.0,True
214,step,high,17,0.0,True
215,step,high,63,0.0,True
216,step,low,85,14.0,True
217,step,low,21,0.0,True
218,step,low,167,59.0,True
219,step,medium,29,0.0,True
220,step,high,21,0.0,True
221,step,high,114,1.0,True
222,step,medium,72,0.0,True
223,step,high,55,0.0,True
224,step,low,143,0.0,True
225,step,medium,152,61.0,True
226,step,low,22,0.0,True
227,step,medium,64,13.0,True
228,step,high,139,34.0,True
229,step,medium,166,41.0,True
230,step,high,123,20.0,True
231,step,low,113,0.0,True
232,step,medium,150,36.0,True
233,step,low,38,0.0,True
234,step,low,173,4.0,True
235,step,medium,152,39.0,True
236,step,high,180,48.0,True
237,step,low,122,43.0,True
238,step,low,134,53.0,True
239,step,medium,51,0.0,True
240,step,medium,46,,False
241,step,medium,29,0.0,True
242,step,high,177,117.0,True
243,step,low,91,,False
244,step,medium,66,0.0,True
245,step,medium,21,,False
246,step,medium,78,0.0,True
247,step,high,136,66.0,True
248,step,medium,143,33.0,True
249,step,low,69,0.0,True
250,replay,low,15,0.0,True
251,replay,high,163,0.0,True
252,replay,low,44,7.0,True
253,replay,low,37,,False
254,replay,low,33,0.0,True
255,replay,high,63,,False
256,replay,low,147,0.0,True
257,replay,low,126,0.0,True
258,replay,low,25,,False
259,replay,high,166,10.0,True
260,replay,medium,89,0.0,True
261,replay,medium,141,0.0,True
262,replay,high,73,0.0,True
263,replay,high,58,0.0,True
264,replay,low,38,0.0,True
265,replay,low,98,0.0,True
266,replay,medium,68,0.0,True
267,replay,high,166,0.0,True
268,replay,medium,18,0.0,True
269,replay,medium,120,0.0,True
270,replay,high,118,0.0,True
271,replay,medium,20,0.0,True
272,replay,low,145,0.0,True
273,replay,medium,125,0.0,True
274,replay,low,69,,False
275,replay,low,118,0.0,True
276,replay,medium,39,0.0,True
277,replay,medium,62,0.0,True
278,replay,medium,126,0.0,True
279,replay,low,169,121.0,True
280,replay,medium,173,87.0,True
281,replay,medium,93,0.0,True
282,replay,high,72,0.0,True
283,replay,medium,51,0.0,True
284,replay,medium,15,0.0,True
285,replay,medium,17,0.0,True
286,replay,medium,106,0.0,True
287,replay,medium,132,4.0,True
288,replay,medium,90,0.0,True
289,replay,high,69,0.0,True
290,replay,high,124,58.0,True
291,replay,high,107,0.0,True
292,replay,high,39,0.0,True
293,replay,low,119,0.0,True
294,replay,medium,56,0.0,True
295,replay,low,137,0.0,True
296,replay,medium,39,0.0,True
297,replay,high,72,0.0,True
298,replay,high,36,0.0,True
299,replay,high,53,0.0,True
300,voltage_spoof,high,39,0.0,True
301,voltage_spoof,high,144,0.0,True
302,voltage_spoof,high,75,0.0,True
303,voltage_spoof,medium,78,0.0,True
304,voltage_spoof,medium,27,0.0,True
305,voltage_spoof,high,30,0.0,True
306,voltage_spoof,medium,49,0.0,True
307,voltage_spoof,medium,124,0.0,True
308,voltage_spoof,low,125,,False
309,voltage_spoof,medium,137,0.0,True
310,voltage_spoof,medium,29,0.0,True
311,voltage_spoof,medium,60,0.0,True
312,voltage_spoof,low,127,0.0,True
313,voltage_spoof,medium,18,0.0,True
314,voltage_spoof,low,37,0.0,True
315,voltage_spoof,medium,61,0.0,True
316,voltage_spoof,high,57,0.0,True
317,voltage_spoof,low,26,0.0,True
318,voltage_spoof,high,128,0.0,True
319,voltage_spoof,low,73,0.0,True
320,voltage_spoof,high,146,0.0,True
321,voltage_spoof,low,147,0.0,True
322,voltage_spoof,medium,134,0.0,True
323,voltage_spoof,medium,19,0.0,True
324,voltage_spoof,medium,38,0.0,True
325,voltage_spoof,medium,176,0.0,True
326,voltage_spoof,medium,81,0.0,True
