feature,gain,split
vi_res_roll15_mean,1991178.024816513,451
gap_intensity_ratio,462772.97217464447,602
vi_res_abs,198408.2649459839,392
Global_active_power,157452.87598609924,714
hour_sin,114109.26207923889,1074
Global_reactive_power,100075.281083107,568
hour_cos,85312.39027500153,879
Voltage,71153.38487625122,487
dow_sin,70963.31687545776,614
VI_residual,59376.550894737244,374
sm_gap_ratio,47436.06179904938,318
gap_diff1,23789.24960422516,293
dow_cos,22067.245471954346,238
Global_intensity,22005.185264587402,221
Sub_metering_3,19906.40113544464,190
Sub_metering_2,10547.751043319702,105
Sub_metering_1,2995.3353939056396,40
