ts,f1,auc_pr,auc_roc,precision,recall,raw_f1,cfg,secs
1780436956,0.5407,0.6156,0.8765,0.4288,0.7315,0.5365,"{""kind"": ""cnn"", ""mode"": ""full"", ""filters"": [32, 16, 8], ""ksize"": 5, ""bottleneck"": 8, ""lr"": 0.001, ""epochs"": 25, ""batch"": 1024, ""patience"": 6, ""seed"": 42}",240.9
1780437531,0.5474,0.6207,0.8807,0.4364,0.7343,0.5436,"{""kind"": ""cnn"", ""mode"": ""full"", ""filters"": [32, 16, 8], ""ksize"": 5, ""bottleneck"": 8, ""lr"": 0.001, ""epochs"": 25, ""batch"": 1024, ""patience"": 6, ""seed"": 42}",214.4
1780438134,0.5534,0.6201,0.8848,0.4423,0.7393,0.5524,"{""kind"": ""cnn"", ""mode"": ""full"", ""filters"": [48, 24, 12], ""ksize"": 3, ""bottleneck"": 12, ""lr"": 0.001, ""epochs"": 40, ""batch"": 512, ""patience"": 6, ""seed"": 741}",392.9
1780439138,0.4356,0.4724,0.7768,0.3548,0.5642,0.4324,"{""kind"": ""cnn"", ""mode"": ""medium"", ""filters"": [48, 24, 12], ""ksize"": 5, ""bottleneck"": 24, ""lr"": 0.0005, ""epochs"": 40, ""batch"": 1024, ""patience"": 6, ""seed"": 884}",323.0
1780439785,0.4302,0.4732,0.7755,0.3482,0.5627,0.4272,"{""kind"": ""cnn"", ""mode"": ""medium"", ""filters"": [32, 16, 8], ""ksize"": 3, ""bottleneck"": 24, ""lr"": 0.001, ""epochs"": 25, ""batch"": 1024, ""patience"": 6, ""seed"": 837}",221.3
1780440389,0.5692,0.6368,0.8919,0.4565,0.7559,0.5682,"{""kind"": ""cnn"", ""mode"": ""full"", ""filters"": [48, 24, 12], ""ksize"": 5, ""bottleneck"": 8, ""lr"": 0.001, ""epochs"": 25, ""batch"": 1024, ""patience"": 6, ""seed"": 242}",236.0
1780440910,0.581,0.6443,0.8956,0.4797,0.7365,0.5789,"{""kind"": ""cnn"", ""mode"": ""full"", ""filters"": [32, 16, 8], ""ksize"": 5, ""bottleneck"": 8, ""lr"": 0.0003, ""epochs"": 25, ""batch"": 512, ""patience"": 6, ""seed"": 312}",263.9
1780441497,0.5693,0.635,0.8912,0.4647,0.7348,0.5673,"{""kind"": ""cnn"", ""mode"": ""full"", ""filters"": [32, 16, 8], ""ksize"": 5, ""bottleneck"": 8, ""lr"": 0.0003, ""epochs"": 25, ""batch"": 512, ""patience"": 6, ""seed"": 445}",288.5
1780442242,0.5683,0.6345,0.8917,0.4565,0.7527,0.5673,"{""kind"": ""cnn"", ""mode"": ""full"", ""filters"": [32, 16, 8], ""ksize"": 5, ""bottleneck"": 16, ""lr"": 0.001, ""epochs"": 25, ""batch"": 512, ""patience"": 6, ""seed"": 527}",464.9
1780442729,0.426,0.4693,0.7708,0.3402,0.5696,0.4236,"{""kind"": ""cnn"", ""mode"": ""medium"", ""filters"": [48, 24, 12], ""ksize"": 3, ""bottleneck"": 16, ""lr"": 0.001, ""epochs"": 15, ""batch"": 512, ""patience"": 6, ""seed"": 556}",138.0
