ts,f1,auc_pr,auc_roc,precision,recall,raw_f1,cfg,secs
1780436753,0.7544,0.7824,0.9266,0.7621,0.7469,0.7464,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 42}",30.9
1780436877,0.7804,0.8418,0.9321,0.7883,0.7726,0.7729,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1600, ""max_samples"": 2048, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 172}",123.3
1780436905,0.7839,0.8412,0.934,0.792,0.776,0.7758,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 1024, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 750}",28.7
1780436939,0.7407,0.7464,0.9224,0.7342,0.7474,0.7333,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 256, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 901}",33.6
1780436958,0.7364,0.7773,0.924,0.7119,0.7627,0.7298,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 611}",19.2
1780437021,0.7839,0.8441,0.933,0.7925,0.7755,0.7764,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 2048, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 190}",63.0
1780437046,0.7857,0.8392,0.933,0.7971,0.7747,0.7767,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 1024, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 612}",24.6
1780437105,0.7795,0.8365,0.933,0.7892,0.7701,0.7713,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 1024, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 638}",59.1
1780437159,0.7757,0.8229,0.9312,0.7851,0.7665,0.7672,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 512, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 288}",54.5
1780437184,0.7588,0.7913,0.9283,0.7705,0.7474,0.7503,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 256, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 187}",25.0
