ts,f1,auc_pr,auc_roc,precision,recall,raw_f1,cfg,secs
1780489403,0.7644,0.8284,0.9587,0.6928,0.8525,0.7632,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 128, ""bottleneck"": 8, ""lr"": 0.0003, ""epochs"": 20, ""batch"": 512, ""patience"": 5, ""seed"": 42}",113.9
1780489460,0.7968,0.8675,0.968,0.7586,0.839,0.7974,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 96, ""bottleneck"": 8, ""lr"": 0.0001, ""epochs"": 12, ""batch"": 512, ""patience"": 5, ""seed"": 26}",56.9
1780489501,0.8042,0.8712,0.968,0.7873,0.8219,0.8041,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 16, ""lr"": 0.0005, ""epochs"": 12, ""batch"": 512, ""patience"": 5, ""seed"": 891}",40.7
1780489592,0.7826,0.8485,0.9614,0.7254,0.8496,0.7824,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 96, ""bottleneck"": 8, ""lr"": 0.0003, ""epochs"": 30, ""batch"": 512, ""patience"": 5, ""seed"": 888}",91.4
1780489634,0.8015,0.8727,0.9684,0.7662,0.8403,0.8029,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 12, ""lr"": 0.0001, ""epochs"": 12, ""batch"": 512, ""patience"": 5, ""seed"": 138}",41.2
1780489718,0.7838,0.845,0.9615,0.7125,0.871,0.7826,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 8, ""lr"": 0.0003, ""epochs"": 30, ""batch"": 512, ""patience"": 5, ""seed"": 162}",84.7
1780489905,0.7391,0.7867,0.9486,0.6768,0.8142,0.7395,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 12, ""lr"": 0.0005, ""epochs"": 30, ""batch"": 256, ""patience"": 5, ""seed"": 667}",186.7
1780489986,0.7923,0.8586,0.9663,0.7578,0.8302,0.7933,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 8, ""lr"": 0.0001, ""epochs"": 20, ""batch"": 512, ""patience"": 5, ""seed"": 864}",81.1
1780490098,0.8137,0.8914,0.9677,0.7927,0.8359,0.8149,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 8, ""lr"": 0.0003, ""epochs"": 20, ""batch"": 256, ""patience"": 5, ""seed"": 837}",112.2
1780490156,0.7685,0.8394,0.9581,0.706,0.843,0.7686,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 128, ""bottleneck"": 12, ""lr"": 0.0005, ""epochs"": 12, ""batch"": 512, ""patience"": 5, ""seed"": 829}",57.4
1780490266,0.7452,0.8049,0.9506,0.6971,0.8004,0.7457,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 96, ""bottleneck"": 16, ""lr"": 0.0005, ""epochs"": 20, ""batch"": 256, ""patience"": 5, ""seed"": 500}",110.4
1780490426,0.7787,0.8344,0.9591,0.718,0.8506,0.7787,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 96, ""bottleneck"": 16, ""lr"": 0.0001, ""epochs"": 30, ""batch"": 256, ""patience"": 5, ""seed"": 753}",160.1
1780490501,0.7563,0.814,0.957,0.681,0.8503,0.7559,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 96, ""bottleneck"": 12, ""lr"": 0.0005, ""epochs"": 12, ""batch"": 256, ""patience"": 5, ""seed"": 298}",74.2
1780490594,0.7887,0.8605,0.9632,0.7884,0.789,0.7903,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 128, ""bottleneck"": 16, ""lr"": 0.0001, ""epochs"": 20, ""batch"": 512, ""patience"": 5, ""seed"": 357}",93.0
1780490641,0.8008,0.8818,0.9681,0.7856,0.8165,0.8029,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 8, ""lr"": 0.0001, ""epochs"": 12, ""batch"": 512, ""patience"": 5, ""seed"": 304}",47.3
1780490801,0.7711,0.8427,0.9589,0.7261,0.8221,0.7715,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 96, ""bottleneck"": 12, ""lr"": 0.0001, ""epochs"": 30, ""batch"": 256, ""patience"": 5, ""seed"": 368}",159.8
1780490847,0.8011,0.8731,0.9678,0.7775,0.8263,0.8022,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 16, ""lr"": 0.0003, ""epochs"": 12, ""batch"": 512, ""patience"": 5, ""seed"": 954}",46.1
1780491013,0.7825,0.8636,0.9636,0.7394,0.831,0.783,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 96, ""bottleneck"": 16, ""lr"": 0.0001, ""epochs"": 30, ""batch"": 256, ""patience"": 5, ""seed"": 113}",165.3
1780491094,0.7556,0.8162,0.9555,0.695,0.8279,0.756,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 96, ""bottleneck"": 12, ""lr"": 0.0005, ""epochs"": 12, ""batch"": 256, ""patience"": 5, ""seed"": 878}",81.0
1780491194,0.7852,0.8562,0.9644,0.736,0.8415,0.7852,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 16, ""lr"": 0.0001, ""epochs"": 30, ""batch"": 512, ""patience"": 5, ""seed"": 13}",100.2
1780491297,0.7783,0.8423,0.9598,0.7471,0.8122,0.779,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 128, ""bottleneck"": 8, ""lr"": 0.0001, ""epochs"": 20, ""batch"": 512, ""patience"": 5, ""seed"": 144}",103.1
1780491428,0.7431,0.7953,0.9515,0.7041,0.7868,0.7441,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 128, ""bottleneck"": 8, ""lr"": 0.0005, ""epochs"": 20, ""batch"": 256, ""patience"": 5, ""seed"": 769}",130.8
1780491481,0.7612,0.8357,0.9619,0.7397,0.784,0.7627,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 16, ""lr"": 0.0005, ""epochs"": 12, ""batch"": 512, ""patience"": 5, ""seed"": 626}",53.0
1780491661,0.7434,0.7925,0.9503,0.6664,0.8404,0.7425,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 96, ""bottleneck"": 8, ""lr"": 0.0005, ""epochs"": 30, ""batch"": 256, ""patience"": 5, ""seed"": 64}",180.3
1780491744,0.7745,0.8368,0.9595,0.7012,0.8651,0.7743,"{""kind"": ""lstm"", ""mode"": ""full"", ""units"": 64, ""bottleneck"": 16, ""lr"": 0.0003, ""epochs"": 20, ""batch"": 512, ""patience"": 5, ""seed"": 799}",82.3
